"","sid","condition","block_index","date","time","trialnum","stimulus_label","response_label","stimulus","trialdur","regimen","day","correct"
"133","1612","label",1,"2013-07-20","10:24:26.212",13,3,3,45,4.420938,"AP",4,TRUE
"134","1612","label",1,"2013-07-20","10:24:30.663",14,1,1,2,3.769678,"AP",4,TRUE
"135","1612","label",1,"2013-07-20","10:24:34.458",15,4,4,65,2.987391,"AP",4,TRUE
"136","1612","label",1,"2013-07-20","10:24:37.472",16,1,4,19,2.854003,"AP",4,FALSE
"137","1612","label",1,"2013-07-20","10:24:40.361",17,3,2,43,3.201208,"AP",4,FALSE
"138","1612","label",1,"2013-07-20","10:24:43.593",18,2,2,29,2.58734,"AP",4,TRUE
"139","1612","label",1,"2013-07-20","10:24:46.201",19,3,4,52,3.588216,"AP",4,FALSE
"140","1612","label",1,"2013-07-20","10:24:49.824",20,2,2,21,3.152496,"AP",4,TRUE
"141","1612","label",1,"2013-07-20","10:24:52.994",21,2,3,39,3.469389,"AP",4,FALSE
"142","1612","label",1,"2013-07-20","10:24:56.492",22,4,3,68,2.78811,"AP",4,FALSE
"143","1612","label",1,"2013-07-20","10:24:59.319",23,4,3,64,3.235999,"AP",4,FALSE
"144","1612","label",1,"2013-07-20","10:25:2.582",24,2,2,24,2.80397,"AP",4,TRUE
"145","1612","label",1,"2013-07-20","10:25:5.409",25,1,1,10,2.337694,"AP",4,TRUE
"146","1612","label",1,"2013-07-20","10:25:7.767",26,3,3,48,3.320556,"AP",4,TRUE
"147","1612","label",1,"2013-07-20","10:25:11.124",27,3,4,56,2.354222,"AP",4,FALSE
"148","1612","label",1,"2013-07-20","10:25:13.498",28,3,3,53,5.220635,"AP",4,TRUE
"149","1612","label",1,"2013-07-20","10:25:18.745",29,1,4,20,4.502526,"AP",4,FALSE
"150","1612","label",1,"2013-07-20","10:25:23.274",30,4,4,67,3.204196,"AP",4,TRUE
"151","1612","label",2,"2013-07-20","10:25:33.924",1,3,3,45,6.531227,"AP",4,TRUE
"152","1612","label",2,"2013-07-20","10:25:40.514",2,2,2,37,2.905101,"AP",4,TRUE
"153","1612","label",2,"2013-07-20","10:25:43.465",3,2,2,29,2.930028,"AP",4,TRUE
"154","1612","label",2,"2013-07-20","10:25:46.417",4,3,4,47,4.980087,"AP",4,FALSE
"155","1612","label",2,"2013-07-20","10:25:51.430",5,4,3,59,3.166436,"AP",4,FALSE
"156","1612","label",2,"2013-07-20","10:25:54.631",6,4,4,71,4.92079,"AP",4,TRUE
"157","1612","label",2,"2013-07-20","10:25:59.581",7,4,3,63,2.653438,"AP",4,FALSE
"158","1612","label",2,"2013-07-20","10:26:2.252",8,1,1,17,2.720903,"AP",4,TRUE
"159","1612","label",2,"2013-07-20","10:26:5.001",9,4,3,65,4.68747,"AP",4,FALSE
"160","1612","label",2,"2013-07-20","10:26:9.719",10,4,4,61,3.919392,"AP",4,TRUE
"161","1612","label",2,"2013-07-20","10:26:13.671",11,2,2,37,2.504525,"AP",4,TRUE
"162","1612","label",2,"2013-07-20","10:26:16.202",12,4,4,69,4.320814,"AP",4,TRUE
"163","1612","label",2,"2013-07-20","10:26:20.560",13,1,1,10,2.619487,"AP",4,TRUE
"164","1612","label",2,"2013-07-20","10:26:23.216",14,3,2,53,3.614947,"AP",4,FALSE
"165","1612","label",2,"2013-07-20","10:26:26.856",15,4,4,70,3.230833,"AP",4,TRUE
"166","1612","label",2,"2013-07-20","10:26:30.121",16,1,1,9,2.504105,"AP",4,TRUE
"167","1612","label",2,"2013-07-20","10:26:32.651",17,2,2,27,3.353886,"AP",4,TRUE
"168","1612","label",2,"2013-07-20","10:26:36.041",18,2,2,32,2.554236,"AP",4,TRUE
"169","1612","label",2,"2013-07-20","10:26:38.619",19,3,3,55,4.869897,"AP",4,TRUE
"170","1612","label",2,"2013-07-20","10:26:43.508",20,3,4,51,3.804553,"AP",4,FALSE
"171","1612","label",2,"2013-07-20","10:26:47.351",21,1,1,8,3.336312,"AP",4,TRUE
"172","1612","label",2,"2013-07-20","10:26:50.710",22,2,2,34,2.237097,"AP",4,TRUE
"173","1612","label",2,"2013-07-20","10:26:52.975",23,4,4,71,2.620703,"AP",4,TRUE
"174","1612","label",2,"2013-07-20","10:26:55.631",24,1,3,12,2.38647,"AP",4,FALSE
"175","1612","label",2,"2013-07-20","10:26:58.052",25,3,3,49,2.852692,"AP",4,TRUE
"176","1612","label",2,"2013-07-20","10:27:0.927",26,1,1,6,3.133429,"AP",4,TRUE
"177","1612","label",2,"2013-07-20","10:27:4.098",27,3,1,41,3.853091,"AP",4,FALSE
"178","1612","label",2,"2013-07-20","10:27:7.972",28,3,1,43,2.804063,"AP",4,FALSE
"179","1612","label",2,"2013-07-20","10:27:10.815",29,1,1,2,2.667107,"AP",4,TRUE
"180","1612","label",2,"2013-07-20","10:27:13.502",30,2,2,29,2.786764,"AP",4,TRUE
"181","1612","label",3,"2013-07-20","10:27:22.219",1,1,3,12,4.197308,"AP",4,FALSE
"182","1612","label",3,"2013-07-20","10:27:26.468",2,1,1,9,2.538177,"AP",4,TRUE
"183","1612","label",3,"2013-07-20","10:27:29.046",3,1,4,18,4.280389,"AP",4,FALSE
"184","1612","label",3,"2013-07-20","10:27:33.357",4,2,2,28,4.16108,"AP",4,TRUE
"185","1612","label",3,"2013-07-20","10:27:37.560",5,2,1,24,2.801191,"AP",4,FALSE
"186","1612","label",3,"2013-07-20","10:27:40.387",6,2,2,33,5.087464,"AP",4,TRUE
"187","1612","label",3,"2013-07-20","10:27:45.511",7,1,3,13,6.369273,"AP",4,FALSE
"188","1612","label",3,"2013-07-20","10:27:51.900",8,4,3,61,4.416531,"AP",4,FALSE
"189","1612","label",3,"2013-07-20","10:27:56.352",9,1,3,17,5.719308,"AP",4,FALSE
"190","1612","label",3,"2013-07-20","10:28:2.101",10,3,3,56,3.453206,"AP",4,TRUE
"191","1612","label",3,"2013-07-20","10:28:5.585",11,3,1,55,4.520275,"AP",4,FALSE
"192","1612","label",3,"2013-07-20","10:28:10.131",12,3,3,41,3.237346,"AP",4,TRUE
"193","1612","label",3,"2013-07-20","10:28:13.396",13,4,3,60,4.602592,"AP",4,FALSE
"194","1612","label",3,"2013-07-20","10:28:18.035",14,2,1,21,2.404095,"AP",4,FALSE
"195","1612","label",3,"2013-07-20","10:28:20.457",15,2,2,32,3.603106,"AP",4,TRUE
"196","1612","label",3,"2013-07-20","10:28:24.097",16,2,2,23,2.420059,"AP",4,TRUE
"197","1612","label",3,"2013-07-20","10:28:26.549",17,1,1,9,3.687508,"AP",4,TRUE
"198","1612","label",3,"2013-07-20","10:28:30.267",18,4,4,70,4.669363,"AP",4,TRUE
"199","1612","label",3,"2013-07-20","10:28:34.954",19,3,2,49,3.23599,"AP",4,FALSE
"200","1612","label",3,"2013-07-20","10:28:38.219",20,4,2,62,5.369928,"AP",4,FALSE
"201","1612","label",3,"2013-07-20","10:28:43.624",21,3,2,43,3.754029,"AP",4,FALSE
"202","1612","label",3,"2013-07-20","10:28:47.404",22,4,4,64,3.633946,"AP",4,TRUE
"203","1612","label",3,"2013-07-20","10:28:51.075",23,1,3,20,3.471195,"AP",4,FALSE
"204","1612","label",3,"2013-07-20","10:28:54.574",24,4,3,58,3.186737,"AP",4,FALSE
"205","1612","label",3,"2013-07-20","10:28:57.793",25,2,2,29,2.487877,"AP",4,TRUE
"206","1612","label",3,"2013-07-20","10:29:0.308",26,4,4,69,3.071416,"AP",4,TRUE
"207","1612","label",3,"2013-07-20","10:29:3.401",27,2,2,21,2.55274,"AP",4,TRUE
"208","1612","label",3,"2013-07-20","10:29:5.978",28,3,3,51,3.770437,"AP",4,TRUE
"209","1612","label",3,"2013-07-20","10:29:9.790",29,3,4,56,2.520622,"AP",4,FALSE
"210","1612","label",3,"2013-07-20","10:29:12.336",30,1,1,6,2.619896,"AP",4,TRUE
"211","1612","label",4,"2013-07-20","10:29:21.116",1,4,4,68,7.614099,"AP",4,TRUE
"212","1612","label",4,"2013-07-20","10:29:28.802",2,4,1,59,3.133935,"AP",4,FALSE
"213","1612","label",4,"2013-07-20","10:29:31.973",3,2,2,23,2.912491,"AP",4,TRUE
"214","1612","label",4,"2013-07-20","10:29:34.925",4,2,1,32,2.346784,"AP",4,FALSE
"215","1612","label",4,"2013-07-20","10:29:37.300",5,3,1,44,3.617409,"AP",4,FALSE
"216","1612","label",4,"2013-07-20","10:29:40.940",6,1,1,7,2.670515,"AP",4,TRUE
"217","1612","label",4,"2013-07-20","10:29:43.642",7,1,3,9,3.203469,"AP",4,FALSE
"218","1612","label",4,"2013-07-20","10:29:46.876",8,4,4,63,3.099227,"AP",4,TRUE
"219","1612","label",4,"2013-07-20","10:29:50.016",9,1,3,8,6.704311,"AP",4,FALSE
"220","1612","label",4,"2013-07-20","10:29:56.749",10,3,3,50,5.086667,"AP",4,TRUE
"221","1612","label",4,"2013-07-20","10:30:1.857",11,2,2,24,3.054122,"AP",4,TRUE
"222","1612","label",4,"2013-07-20","10:30:4.935",12,4,3,59,5.103422,"AP",4,FALSE
"223","1612","label",4,"2013-07-20","10:30:10.074",13,4,1,58,3.471088,"AP",4,FALSE
"224","1612","label",4,"2013-07-20","10:30:13.573",14,1,1,7,2.569585,"AP",4,TRUE
"225","1612","label",4,"2013-07-20","10:30:16.167",15,3,4,53,4.870401,"AP",4,FALSE
"226","1612","label",4,"2013-07-20","10:30:21.072",16,2,2,25,2.720014,"AP",4,TRUE
"227","1612","label",4,"2013-07-20","10:30:23.821",17,1,3,16,4.20368,"AP",4,FALSE
"228","1612","label",4,"2013-07-20","10:30:28.055",18,2,2,34,4.337443,"AP",4,TRUE
"229","1612","label",4,"2013-07-20","10:30:32.413",19,3,3,54,4.969715,"AP",4,TRUE
"230","1612","label",4,"2013-07-20","10:30:37.412",20,1,1,17,3.070765,"AP",4,TRUE
"231","1612","label",4,"2013-07-20","10:30:40.521",21,3,3,44,3.703494,"AP",4,TRUE
"232","1612","label",4,"2013-07-20","10:30:44.254",22,2,2,26,3.968446,"AP",4,TRUE
"233","1612","label",4,"2013-07-20","10:30:48.254",23,2,2,31,4.699826,"AP",4,TRUE
"234","1612","label",4,"2013-07-20","10:30:52.971",24,3,3,46,4.504365,"AP",4,TRUE
"235","1612","label",4,"2013-07-20","10:30:57.517",25,3,4,54,4.419873,"AP",4,FALSE
"236","1612","label",4,"2013-07-20","10:31:1.954",26,4,4,69,5.637776,"AP",4,TRUE
"237","1612","label",4,"2013-07-20","10:31:7.625",27,4,3,64,2.903679,"AP",4,FALSE
"238","1612","label",4,"2013-07-20","10:31:10.563",28,4,3,60,2.687882,"AP",4,FALSE
"239","1612","label",4,"2013-07-20","10:31:13.281",29,1,3,14,2.703724,"AP",4,FALSE
"240","1612","label",4,"2013-07-20","10:31:16.015",30,1,1,5,2.619573,"AP",4,TRUE
"241","1613","label",1,"2013-07-25","15:11:4.866",1,2,2,26,4.266272,"AP",4,TRUE
"242","1613","label",1,"2013-07-25","15:11:9.195",2,3,4,52,4.953591,"AP",4,FALSE
"243","1613","label",1,"2013-07-25","15:11:14.179",3,4,4,71,3.194249,"AP",4,TRUE
"244","1613","label",1,"2013-07-25","15:11:17.413",4,1,1,4,3.541328,"AP",4,TRUE
"245","1613","label",1,"2013-07-25","15:11:20.991",5,2,2,35,3.598767,"AP",4,TRUE
"246","1613","label",1,"2013-07-25","15:11:24.632",6,2,2,24,3.502431,"AP",4,TRUE
"247","1613","label",1,"2013-07-25","15:11:28.163",7,1,3,20,3.053507,"AP",4,FALSE
"248","1613","label",1,"2013-07-25","15:11:31.257",8,1,1,16,3.371919,"AP",4,TRUE
"249","1613","label",1,"2013-07-25","15:11:34.663",9,4,3,63,3.87022,"AP",4,FALSE
"250","1613","label",1,"2013-07-25","15:11:38.554",10,1,3,14,4.020596,"AP",4,FALSE
"251","1613","label",1,"2013-07-25","15:11:42.601",11,4,1,64,6.318779,"AP",4,FALSE
"252","1613","label",1,"2013-07-25","15:11:48.960",12,3,4,53,2.902947,"AP",4,FALSE
"253","1613","label",1,"2013-07-25","15:11:51.898",13,3,3,45,4.852448,"AP",4,TRUE
"254","1613","label",1,"2013-07-25","15:11:56.773",14,1,1,2,5.270357,"AP",4,TRUE
"255","1613","label",1,"2013-07-25","15:12:2.070",15,4,3,65,7.617754,"AP",4,FALSE
"256","1613","label",1,"2013-07-25","15:12:9.726",16,1,4,19,3.601448,"AP",4,FALSE
"257","1613","label",1,"2013-07-25","15:12:13.351",17,3,1,43,6.484927,"AP",4,FALSE
"258","1613","label",1,"2013-07-25","15:12:19.882",18,2,3,29,3.368899,"AP",4,FALSE
"259","1613","label",1,"2013-07-25","15:12:23.273",19,3,3,52,3.936799,"AP",4,TRUE
"260","1613","label",1,"2013-07-25","15:12:27.241",20,2,2,21,3.68185,"AP",4,TRUE
"261","1613","label",1,"2013-07-25","15:12:30.960",21,2,2,39,3.944733,"AP",4,TRUE
"262","1613","label",1,"2013-07-25","15:12:34.945",22,4,3,68,4.035167,"AP",4,FALSE
"263","1613","label",1,"2013-07-25","15:12:39.007",23,4,3,64,4.153669,"AP",4,FALSE
"264","1613","label",1,"2013-07-25","15:12:43.195",24,2,2,24,3.003526,"AP",4,TRUE
"265","1613","label",1,"2013-07-25","15:12:46.226",25,1,1,10,3.795464,"AP",4,TRUE
"266","1613","label",1,"2013-07-25","15:12:50.054",26,3,1,48,3.702599,"AP",4,FALSE
"267","1613","label",1,"2013-07-25","15:12:53.804",27,3,4,56,3.596833,"AP",4,FALSE
"268","1613","label",1,"2013-07-25","15:12:57.429",28,3,3,53,4.068374,"AP",4,TRUE
"269","1613","label",1,"2013-07-25","15:13:1.523",29,1,3,20,3.047761,"AP",4,FALSE
"270","1613","label",1,"2013-07-25","15:13:4.601",30,4,1,67,3.91895,"AP",4,FALSE
"271","1613","label",2,"2013-07-25","15:13:20.257",1,3,1,45,8.234067,"AP",4,FALSE
"272","1613","label",2,"2013-07-25","15:13:28.554",2,2,2,37,3.318686,"AP",4,TRUE
"273","1613","label",2,"2013-07-25","15:13:31.913",3,2,2,29,2.77724,"AP",4,TRUE
"274","1613","label",2,"2013-07-25","15:13:34.726",4,3,3,47,3.927671,"AP",4,TRUE
