"","sid","condition","block_index","date","time","trialnum","signal_interval","response_interval","signal","standard","trialdur","regimen","day","correct","foil_label","pretest"
"145","1611","4th",3,"2013-07-16","15:58:50.844",25,2,2,37,68,3.935672,"AP",1,TRUE,"6th",0.691666666666667
"146","1611","4th",3,"2013-07-16","15:58:54.813",26,1,1,23,11,5.517822,"AP",1,TRUE,"3rd",0.691666666666667
"147","1611","4th",3,"2013-07-16","15:59:0.360",27,2,2,25,12,4.052059,"AP",1,TRUE,"3rd",0.691666666666667
"148","1611","4th",3,"2013-07-16","15:59:4.437",28,2,1,24,64,4.001249,"AP",1,FALSE,"6th",0.691666666666667
"149","1611","4th",3,"2013-07-16","15:59:8.468",29,1,2,30,51,4.568072,"AP",1,FALSE,"5th",0.691666666666667
"150","1611","4th",3,"2013-07-16","15:59:13.078",30,2,1,21,61,4.017625,"AP",1,FALSE,"6th",0.691666666666667
"151","1611","4th",4,"2013-07-16","16:0:11.153",1,1,1,29,4,3.794136,"AP",1,TRUE,"3rd",0.691666666666667
"152","1611","4th",4,"2013-07-16","16:0:15.012",2,1,2,26,70,3.883211,"AP",1,FALSE,"6th",0.691666666666667
"153","1611","4th",4,"2013-07-16","16:0:18.949",3,2,1,27,62,3.787034,"AP",1,FALSE,"6th",0.691666666666667
"154","1611","4th",4,"2013-07-16","16:0:22.777",4,1,2,23,18,3.891077,"AP",1,FALSE,"3rd",0.691666666666667
"155","1611","4th",4,"2013-07-16","16:0:26.699",5,2,1,30,1,5.151218,"AP",1,FALSE,"3rd",0.691666666666667
"156","1611","4th",4,"2013-07-16","16:0:31.886",6,2,2,34,60,3.763767,"AP",1,TRUE,"6th",0.691666666666667
"157","1611","4th",4,"2013-07-16","16:0:35.683",7,2,2,31,69,3.967673,"AP",1,TRUE,"6th",0.691666666666667
"158","1611","4th",4,"2013-07-16","16:0:39.683",8,1,2,38,47,4.117295,"AP",1,FALSE,"5th",0.691666666666667
"159","1611","4th",4,"2013-07-16","16:0:43.839",9,2,2,29,6,3.917621,"AP",1,TRUE,"3rd",0.691666666666667
"160","1611","4th",4,"2013-07-16","16:0:47.776",10,1,2,30,5,3.817678,"AP",1,FALSE,"3rd",0.691666666666667
"161","1611","4th",4,"2013-07-16","16:0:51.635",11,1,1,34,46,3.918269,"AP",1,TRUE,"5th",0.691666666666667
"162","1611","4th",4,"2013-07-16","16:0:55.588",12,1,1,37,65,3.93382,"AP",1,TRUE,"6th",0.691666666666667
"163","1611","4th",4,"2013-07-16","16:0:59.541",13,2,2,24,60,3.9013,"AP",1,TRUE,"6th",0.691666666666667
"164","1611","4th",4,"2013-07-16","16:1:3.478",14,1,2,29,68,4.383268,"AP",1,FALSE,"6th",0.691666666666667
"165","1611","4th",4,"2013-07-16","16:1:7.900",15,1,2,37,14,7.064161,"AP",1,FALSE,"3rd",0.691666666666667
"166","1611","4th",4,"2013-07-16","16:1:14.994",16,2,2,36,43,3.98478,"AP",1,TRUE,"5th",0.691666666666667
"167","1611","4th",4,"2013-07-16","16:1:19.009",17,1,1,30,59,4.067808,"AP",1,TRUE,"6th",0.691666666666667
"168","1611","4th",4,"2013-07-16","16:1:23.119",18,1,1,35,16,3.983237,"AP",1,TRUE,"3rd",0.691666666666667
"169","1611","4th",4,"2013-07-16","16:1:27.134",19,1,1,22,49,4.117936,"AP",1,TRUE,"5th",0.691666666666667
"170","1611","4th",4,"2013-07-16","16:1:31.275",20,1,2,35,11,6.50117,"AP",1,FALSE,"3rd",0.691666666666667
"171","1611","4th",4,"2013-07-16","16:1:37.821",21,2,2,38,68,3.801396,"AP",1,TRUE,"6th",0.691666666666667
"172","1611","4th",4,"2013-07-16","16:1:41.649",22,2,1,22,4,4.200768,"AP",1,FALSE,"3rd",0.691666666666667
"173","1611","4th",4,"2013-07-16","16:1:45.884",23,2,2,34,53,3.914101,"AP",1,TRUE,"5th",0.691666666666667
"174","1611","4th",4,"2013-07-16","16:1:49.837",24,2,2,28,49,3.897234,"AP",1,TRUE,"5th",0.691666666666667
